,MS
0,0.47149568047537394
1,0.5296995036818054
2,0.47217027302787884
3,0.5492127831529275
4,0.6012708966580198
5,0.5217180509998919
6,0.5294340418317781
7,0.5632930445916275
8,0.6151435799325363
9,0.5931697215176656
10,0.5159934676209352
11,0.5744275008969474
12,0.6702091582236971
13,0.5414500205754326
14,0.4861049075436279
15,0.5610733488592387
16,0.5443674715828761
17,0.5735286681920122
18,0.5106357830362995
19,0.5569711648321612
20,0.514793316513857
21,0.5531458626847024
22,0.5854797546383901
23,0.6228246378182128
24,0.5474769840227252
25,0.5150478021658236
26,0.530327593286789
27,0.6271634613077326
28,0.5749561827836026
29,0.5929177457843725
30,0.4907749477873308
31,0.5327014824594479
32,0.45806219233325446
33,0.5731575293240242
34,0.5603532549728751
35,0.5141238869029291
36,0.5026716999354186
37,0.45853555981845184
38,0.5228764274034087
39,0.5819405057068932
40,0.5616277648909548
41,0.5570478122316143
42,0.48535684941528695
43,0.5804898989723165
44,0.5683176988661738
45,0.4869531874582804
46,0.48059682412882543
47,0.5723393399839571
48,0.6269615388338705
49,0.49371406973837795
